branche,lobbygruppe,parlamentarier,parlamentarier_id,partei,fraktion,kanton,geschlecht,id,organisation,status,art,funktion,in_organisation_seit,rechtsform,verguetung
Aussenpolitik/Aussenwirtschaft,Aussenpolitik allgemein,Alfred Heer,3887,SVP,V,ZH,M,5956,Audiatur-Stiftung,deklariert,vorstand,mitglied,,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Aussenpolitik allgemein,Alois Gmür,4096,M,M-E,SZ,M,4480,Stiftung Auslandschweizerplatz Brunnen,deklariert,vorstand,mitglied,2015-09-21,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Aussenpolitik allgemein,Christa Markwalder,1139,FDP,RL,BE,F,4381,Parlamentarischer Verein Schweiz - USA,deklariert,vorstand,praesident,,Verein,-1
Aussenpolitik/Aussenwirtschaft,Aussenpolitik allgemein,Christa Markwalder,1139,FDP,RL,BE,F,6733,Euroinferno,nicht-deklariert,vorstand,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Aussenpolitik allgemein,Eric Nussbaumer,3899,SP,S,BL,M,6803,Schweizerische Gesellschaft für Aussenpolitik,deklariert,vorstand,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Aussenpolitik allgemein,Gerhard Pfister,1109,M,M-E,ZG,M,6022,Fondation 1792,deklariert,vorstand,mitglied,,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Aussenpolitik allgemein,Marianne Binder-Keller,4249,M,M-E,AG,F,13435,Audiatur-Stiftung,deklariert,vorstand,praesident,2022-04-07,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Aussenpolitik allgemein,Roland Fischer,4089,GLP,GL,LU,M,13799,Schweizerische Gesellschaft für Aussenpolitik,deklariert,vorstand,praesident,2022-07-01,Verein,0
Aussenpolitik/Aussenwirtschaft,Aussenpolitik allgemein,Stefan Müller-Altermatt,4063,M,M-E,SO,M,13471,Gesellschaft Schweiz-Armenien,deklariert,vorstand,praesident,2022-04-15,Verein,0
Aussenpolitik/Aussenwirtschaft,Aussenpolitik allgemein,Thomas Aeschi,4053,SVP,V,ZG,M,11388,Parlamentarischer Verein Schweiz - USA,deklariert,vorstand,vizepraesident,,Verein,1
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Andreas Glarner,4161,SVP,V,AG,M,2894,Perspective CH,nicht-deklariert,vorstand,mitglied,,Verein,-1
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Benjamin Fischer,4326,SVP,V,ZH,M,13362,Unternehmer-Vereinigung gegen den EU Beitritt,deklariert,vorstand,vizepraesident,,Verein,0
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Benjamin Giezendanner,4266,SVP,V,AG,M,11092,Perspective CH,nicht-deklariert,vorstand,mitglied,,Verein,
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Franz Grüter,4162,SVP,V,LU,M,11093,Perspective CH,nicht-deklariert,vorstand,vizepraesident,,Verein,
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Hansjörg Knecht,4114,SVP,V,AG,M,2896,Perspective CH,nicht-deklariert,vorstand,praesident,,Verein,
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Jean-Luc Addor,4154,SVP,V,VS,M,2433,AUNS Wallis,deklariert,vorstand,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Lukas Reimann,3901,SVP,V,SG,M,3434,Aktion für eine unabhängige und neutrale Schweiz (AUNS),deklariert,vorstand,praesident,,Verein,0
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Lukas Reimann,3901,SVP,V,SG,M,4288,The european alliance of eu-critical movements,deklariert,vorstand,mitglied,2004-01-01,Verein,0
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Maja Riniker,4313,FDP,RL,AG,F,11095,Perspective CH,nicht-deklariert,vorstand,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Marco Chiesa,4159,SVP,V,TI,M,11451,Aktion für eine unabhängige und neutrale Schweiz (AUNS),deklariert,vorstand,mitglied,2020-12-04,Verein,0
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Martina Bircher,4250,SVP,V,AG,F,11925,Perspective CH,nicht-deklariert,vorstand,praesident,,Verein,0
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Piero Marchesi,4311,SVP,V,TI,M,14006,Pro Schweiz,nicht-deklariert,vorstand,mitglied,2022-10-15,Verein,
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Pierre-André Page,4169,SVP,V,FR,M,14007,Pro Schweiz,nicht-deklariert,vorstand,mitglied,2022-10-15,Verein,
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Pirmin Schwander,1159,SVP,V,SZ,M,11096,Perspective CH,nicht-deklariert,vorstand,mitglied,,Verein,
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Stefanie Heimgartner,4314,SVP,V,AG,F,13180,Perspective CH,deklariert,vorstand,vizepraesident,2022-01-01,Verein,0
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Therese Schläpfer,4234,SVP,V,ZH,F,14008,Pro Schweiz,nicht-deklariert,vorstand,mitglied,2022-10-15,Verein,
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Thomas Burgherr,4158,SVP,V,AG,M,2891,Perspective CH,nicht-deklariert,vorstand,mitglied,,Verein,
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Thomas Matter,4144,SVP,V,ZH,M,7144,Komitee Nein zum schleichenden EU-Beitritt,deklariert,vorstand,mitglied,,Informelle Gruppe,0
Aussenpolitik/Aussenwirtschaft,EU-Gegner,Walter Wobmann,1142,SVP,V,SO,M,14005,Pro Schweiz,nicht-deklariert,vorstand,vizepraesident,2022-10-15,Verein,
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Andreas Aebi,3867,SVP,V,BE,M,11014,Delegation bei der parlamentarischen Versammlung der OSZE,nicht-deklariert,vorstand,vizepraesident,2011-01-01,Staatlich,
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Balthasar Glättli,4093,Grüne,G,ZH,M,13060,Schweizerisches Kompetenzzentrum für Menschenrechte,nicht-deklariert,beirat,mitglied,,Einfache Gesellschaft,
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Balthasar Glättli,4093,Grüne,G,ZH,M,2863,Solidarité sans frontières,deklariert,vorstand,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Christa Markwalder,1139,FDP,RL,BE,F,11910,Fondation Gobat pour la Paix,deklariert,vorstand,mitglied,2021-03-28,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Damien Cottier,4254,FDP,RL,NE,M,8323,Schweizerisches Kompetenzzentrum für Menschenrechte,deklariert,beirat,mitglied,,Einfache Gesellschaft,0
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Elisabeth Baume-Schneider,4238,SP,S,JU,F,11444,Fondation Gobat pour la Paix,deklariert,vorstand,mitglied,2020-12-04,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Eva Herzog,4239,SP,S,BS,F,10874,Schweizerische Friedensstiftung - swisspeace,deklariert,beirat,mitglied,2020-01-01,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Florence Brenzikofer,4315,Grüne,G,BL,F,7973,COMUNDO,deklariert,vorstand,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Ida Glanzmann-Hunkeler,1337,M,M-E,LU,F,3443,Schweizerisches Kompetenzzentrum für Menschenrechte,nicht-deklariert,beirat,mitglied,,Einfache Gesellschaft,0
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Josef Dittli,4151,FDP,RL,UR,M,6953,Schweizerische Friedensstiftung - swisspeace,deklariert,vorstand,mitglied,,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Lisa Mazzone,4186,Grüne,G,GE,F,6072,Gesellschaft für bedrohte Völker,deklariert,vorstand,praesident,2018-05-23,Verein,0
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Maya Graf,806,Grüne,G,BL,F,10875,Schweizerische Friedensstiftung - swisspeace,nicht-deklariert,beirat,mitglied,2020-01-01,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Melanie Mettler,4277,GLP,GL,BE,F,11730,Schweizerisches Kompetenzzentrum für Menschenrechte,deklariert,beirat,mitglied,,Einfache Gesellschaft,0
Aussenpolitik/Aussenwirtschaft,Friedensförderung/Menschenrechte,Yvonne Feri,4069,SP,S,AG,F,6584,Schweizerisches Kompetenzzentrum für Menschenrechte,deklariert,beirat,mitglied,,Einfache Gesellschaft,0
Aussenpolitik/Aussenwirtschaft,Handelsbeziehungen international,Alfred Heer,3887,SVP,V,ZH,M,8298,Handelskammer Kosovo - Schweiz,nicht-deklariert,beirat,praesident,,Verein,0
Aussenpolitik/Aussenwirtschaft,Handelsbeziehungen international,Andreas Glarner,4161,SVP,V,AG,M,6915,Handelskammer Schweiz - Taiwan,nicht-deklariert,vorstand,praesident,2019-06-13,Verein,0
Aussenpolitik/Aussenwirtschaft,Handelsbeziehungen international,Christian Imark,4164,SVP,V,SO,M,7120,Handelskammer Schweiz - Taiwan,deklariert,vorstand,mitglied,2019-06-13,Verein,0
Aussenpolitik/Aussenwirtschaft,Handelsbeziehungen international,Erich Ettlin,4206,M,M-E,OW,M,6169,Vereinigung Schweizerischer Unternehmen in Deutschland,deklariert,vorstand,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Handelsbeziehungen international,Laurent Wehrli,4194,FDP,RL,VD,M,13504,Fondation pour l'économie et le développement durable des régions d'Europe (FEDRE),nicht-deklariert,vorstand,mitglied,2022-05-20,Stiftung,
Aussenpolitik/Aussenwirtschaft,Handelsbeziehungen international,Vincent Maitre,4275,M,M-E,GE,M,14003,Oman-Switzerland Friendship Association (OSFA),nicht-deklariert,beirat,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Andrea Caroni,4075,FDP,RL,AR,M,10956,Stiftung Solidarität mit der Welt Regionalkomitee Ostschweiz,nicht-deklariert,beirat,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Andreas Gafner,4263,EDU,V,BE,M,11464,Stiftung CONTACTIONS,deklariert,vorstand,mitglied,2020-10-06,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Andri Silberschmidt,4290,FDP,RL,ZH,M,8204,Aiducation International,deklariert,taetig,,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Beat Rieder,4204,M,M-E,VS,M,10992,Solidarität mit der Welt Regionalkomitee Oberwallis,nicht-deklariert,vorstand,praesident,,Verein,
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Brigitte Häberli-Koller,1106,M,M-E,TG,F,5086,Stiftung Solidarität mit der Welt (SDW),nicht-deklariert,beirat,mitglied,,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Brigitte Häberli-Koller,1106,M,M-E,TG,F,4569,skat foundation,deklariert,vorstand,mitglied,2016-06-13,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Carlo Sommaruga,1120,SP,S,GE,M,6005,Solidar Suisse,deklariert,vorstand,praesident,2018-05-15,Verein,15000
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Carlo Sommaruga,1120,SP,S,GE,M,2263,"SWISSAID, Schweizerische Stiftung für Entwicklungszusammenarbeit",nicht-deklariert,vorstand,mitglied,,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Claudia Friedl,4131,SP,S,SG,F,11669,"Fonds de solidarité pour la libération sociale dans le tiers monde, Solifonds",deklariert,vorstand,mitglied,2021-02-13,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Claudia Friedl,4131,SP,S,SG,F,6477,HELVETAS Swiss Intercooperation,nicht-deklariert,beirat,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Claudia Friedl,4131,SP,S,SG,F,4489,Freundinnen und Freunde der Gentiana Primary School Nairobi,deklariert,vorstand,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Claudia Friedl,4131,SP,S,SG,F,2266,"SWISSAID, Schweizerische Stiftung für Entwicklungszusammenarbeit",deklariert,vorstand,mitglied,,Stiftung,600
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Corina Gredig,4267,GLP,GL,ZH,F,10857,"SWISSAID, Schweizerische Stiftung für Entwicklungszusammenarbeit",deklariert,vorstand,mitglied,,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Daniel Jositsch,3891,SP,S,ZH,M,5859,Hadia Medical Swiss,nicht-deklariert,beirat,mitglied,,Verein,
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Doris Fiala,3877,FDP,RL,ZH,F,2729,miva,deklariert,beirat,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Fabian Molina,4223,SP,S,ZH,M,6049,"SWISSAID, Schweizerische Stiftung für Entwicklungszusammenarbeit",deklariert,vorstand,praesident,,Stiftung,-1
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Gerhard Pfister,1109,M,M-E,ZG,M,4004,Stiftung St. Martin,nicht-deklariert,vorstand,mitglied,2015-09-04,Stiftung,
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Isabelle Chassot,4325,M,M-E,FR,F,13850,"Fastenaktion, Katholisches Hilfswerk Schweiz",deklariert,vorstand,mitglied,2022-09-27,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Laurent Wehrli,4194,FDP,RL,VD,M,6040,HELVETAS Swiss Intercooperation,deklariert,beirat,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Lilian Studer,4294,EVP,M-E,AG,F,11500,"Stiftung World Vision Schweiz und Liechtenstein, Kinderhilfswerk",deklariert,beirat,mitglied,2020-12-25,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Lisa Mazzone,4186,Grüne,G,GE,F,12017,Service Social International - Suisse,deklariert,vorstand,mitglied,2021-05-21,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Lisa Mazzone,4186,Grüne,G,GE,F,11408,HELVETAS Swiss Intercooperation,deklariert,beirat,mitglied,2020-11-16,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Marianne Streiff-Feller,4036,EVP,M-E,BE,F,3326,TearFund Schweiz,deklariert,vorstand,praesident,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Marina Carobbio Guscetti,3830,SP,S,TI,F,16,Associazione per l'aiuto medico al Centro America,deklariert,vorstand,vizepraesident,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Marina Carobbio Guscetti,3830,SP,S,TI,F,7323,Stiftung Fairmed,deklariert,vorstand,mitglied,2019-10-02,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Marina Carobbio Guscetti,3830,SP,S,TI,F,8217,HELVETAS Swiss Intercooperation,deklariert,beirat,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Martin Landolt,4008,M,M-E,GL,M,12056,HELVETAS Swiss Intercooperation,deklariert,beirat,mitglied,2021-06-19,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Matthias Aebischer,4049,SP,S,BE,M,2262,"SWISSAID, Schweizerische Stiftung für Entwicklungszusammenarbeit",deklariert,vorstand,mitglied,,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Matthias Aebischer,4049,SP,S,BE,M,5931,CABO VERDE Stiftung für Bildung,deklariert,beirat,mitglied,,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Maya Graf,806,Grüne,G,BL,F,7273,Biovision - Stiftung für ökologische Entwicklung,deklariert,vorstand,mitglied,,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Michel Matter,4276,GLP,GL,GE,M,8047,Fondation La vue pour la vie - eyesight4life,nicht-deklariert,vorstand,mitglied,,Stiftung,
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Niklaus-Samuel Gugger,4214,EVP,M-E,ZH,M,13230,TearFund Schweiz,nicht-deklariert,vorstand,mitglied,2021-08-13,Verein,-1
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Niklaus-Samuel Gugger,4214,EVP,M-E,ZH,M,11723,"SWISSAID, Schweizerische Stiftung für Entwicklungszusammenarbeit",nicht-deklariert,vorstand,mitglied,,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Pierre-André Page,4169,SVP,V,FR,M,13107,"SWISSAID, Schweizerische Stiftung für Entwicklungszusammenarbeit",deklariert,vorstand,mitglied,2021-03-29,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Roland Fischer,4089,GLP,GL,LU,M,13808,HELVETAS Swiss Intercooperation,deklariert,beirat,mitglied,2022-07-11,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Samuel Bendahan,4213,SP,S,VD,M,13346,Solidar Suisse,deklariert,beirat,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Sibel Arslan,4184,BastA,G,BS,F,7012,HELVETAS Swiss Intercooperation,deklariert,beirat,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Sibel Arslan,4184,BastA,G,BS,F,6336,"SWISSAID, Schweizerische Stiftung für Entwicklungszusammenarbeit",deklariert,vorstand,mitglied,,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Sibel Arslan,4184,BastA,G,BS,F,2802,Städtepartnerschaft Basel-Van,deklariert,vorstand,praesident,,Verein,0
Aussenpolitik/Aussenwirtschaft,Hilfswerke international,Tamara Funiciello,4262,SP,S,BE,F,11461,Solidar Suisse,deklariert,vorstand,mitglied,2020-12-04,Verein,0
Aussenpolitik/Aussenwirtschaft,Pro EU,Christa Markwalder,1139,FDP,RL,BE,F,5109,European Youth Parliament Switzerland,nicht-deklariert,beirat,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Pro EU,Christian Lohr,4118,M,M-E,TG,M,5108,European Youth Parliament Switzerland,nicht-deklariert,beirat,mitglied,,Verein,
Aussenpolitik/Aussenwirtschaft,Pro EU,Eric Nussbaumer,3899,SP,S,BL,M,13445,Europäische Bewegung Schweiz,deklariert,vorstand,praesident,2022-04-15,Verein,0
Aussenpolitik/Aussenwirtschaft,Pro EU,Eric Nussbaumer,3899,SP,S,BL,M,6883,Neue Europäische Bewegung Schweiz (Nebs) - Sektion Basel,deklariert,vorstand,praesident,,Verein,0
Aussenpolitik/Aussenwirtschaft,Pro EU,Fabian Molina,4223,SP,S,ZH,M,13590,Europäische Bewegung Schweiz,nicht-deklariert,vorstand,,2022-05-01,Verein,
Aussenpolitik/Aussenwirtschaft,Pro EU,Melanie Mettler,4277,GLP,GL,BE,F,11737,Vereinigung Die Schweiz in Europa,deklariert,vorstand,mitglied,,Verein,0
Aussenpolitik/Aussenwirtschaft,Pro EU,Roger Nordmann,1279,SP,S,VD,M,5475,FONDATION JEAN MONNET POUR L'EUROPE,deklariert,vorstand,mitglied,,Stiftung,0
Aussenpolitik/Aussenwirtschaft,Pro EU,Roland Fischer,4089,GLP,GL,LU,M,11034,Europäische Bewegung Schweiz,deklariert,vorstand,vizepraesident,,Verein,0
Aussenpolitik/Aussenwirtschaft,Pro EU,Sarah Wyss,4318,SP,S,BS,F,12059,Neue Europäische Bewegung Schweiz (Nebs) - Sektion Basel,deklariert,vorstand,praesident,2021-06-19,Verein,0
Aussenpolitik/Aussenwirtschaft,Pro EU,Sibel Arslan,4184,BastA,G,BS,F,7013,Europäische Bewegung Schweiz,deklariert,vorstand,vizepraesident,,Verein,0
Aussenpolitik/Aussenwirtschaft,Pro EU,Vincent Maitre,4275,M,M-E,GE,M,12005,Europäische Bewegung Schweiz,deklariert,vorstand,vizepraesident,2021-04-30,Verein,0
Bildung,Bildung/Wissenschaft,Adèle Thorens Goumaz,3907,Grüne,G,VD,F,12133,IMD Business School,deklariert,beirat,,2021-09-03,Einzelunternehmen,1
Bildung,Bildung/Wissenschaft,Adèle Thorens Goumaz,3907,Grüne,G,VD,F,12318,sanu Future Learning AG,deklariert,taetig,,2021-11-02,AG,1
Bildung,Bildung/Wissenschaft,Andrea Caroni,4075,FDP,RL,AR,M,5687,Institut für Rechtswissenschaft und Rechtspraxis der Universität St. Gallen,deklariert,geschaeftsfuehrend,mitglied,2017-10-27,Oeffentlich-rechtlich,0
Bildung,Bildung/Wissenschaft,Andrea Gmür-Schönenberger,4181,M,M-E,LU,F,13135,Netzwerk Future,deklariert,vorstand,mitglied,2021-12-14,Informelle Gruppe,0
Bildung,Bildung/Wissenschaft,Andrea Gmür-Schönenberger,4181,M,M-E,LU,F,3713,Universität Luzern,deklariert,vorstand,mitglied,,Staatlich,1
Bildung,Bildung/Wissenschaft,Andri Silberschmidt,4290,FDP,RL,ZH,M,11912,"FH SCHWEIZ, Dachverband der Absolventinnen und Absolventen Fachhochschulen",deklariert,vorstand,praesident,2021-03-28,Verein,1
Bildung,Bildung/Wissenschaft,Balthasar Glättli,4093,Grüne,G,ZH,M,1251,Netzwerk Future,deklariert,beirat,mitglied,,Informelle Gruppe,0
Bildung,Bildung/Wissenschaft,Barbara Gysi,4121,SP,S,SG,F,4128,Institut für Wirtschaftsethik der Universität St. Gallen,deklariert,beirat,mitglied,,Staatlich,0
Bildung,Bildung/Wissenschaft,Beat Walti,4142,FDP,RL,ZH,M,6110,Schweizerisches Institut für Auslandforschung,nicht-deklariert,vorstand,vizepraesident,,Verein,0
Bildung,Bildung/Wissenschaft,Beat Walti,4142,FDP,RL,ZH,M,6098,Swiss Science Center Technorama,nicht-deklariert,beirat,mitglied,,Stiftung,0
Bildung,Bildung/Wissenschaft,Benedikt Würth,4237,M,M-E,SG,M,8353,Law and Economics Foundation St. Gallen,deklariert,vorstand,mitglied,2020-06-01,Stiftung,0
Bildung,Bildung/Wissenschaft,Brigitte Häberli-Koller,1106,M,M-E,TG,F,4575,"FH SCHWEIZ, Dachverband der Absolventinnen und Absolventen Fachhochschulen",deklariert,beirat,mitglied,,Verein,0
Bildung,Bildung/Wissenschaft,Brigitte Häberli-Koller,1106,M,M-E,TG,F,4576,Pädagogische Hochschule Thurgau,deklariert,beirat,mitglied,,Oeffentlich-rechtlich,7000
Bildung,Bildung/Wissenschaft,Bruno Storni,4312,SP,S,TI,M,8102,"École polytechnique fédérale de Lausanne, EPFL",deklariert,taetig,,,Staatlich,1
Bildung,Bildung/Wissenschaft,Bruno Storni,4312,SP,S,TI,M,8107,Scuola universitaria professionale della Svizzera italiana (SUPSI),nicht-deklariert,taetig,,,Oeffentlich-rechtlich,
Bildung,Bildung/Wissenschaft,Céline Amaudruz,4090,SVP,V,GE,F,1244,Netzwerk Future,nicht-deklariert,beirat,mitglied,,Informelle Gruppe,
Bildung,Bildung/Wissenschaft,Céline Weber,4323,GLP,GL,VD,F,12912,"Haute École Du Paysage, D'ingénierie Et D'architecture De Genève",deklariert,vorstand,mitglied,,Staatlich,0
Bildung,Bildung/Wissenschaft,Céline Weber,4323,GLP,GL,VD,F,13612,Netzwerk Future,nicht-deklariert,beirat,mitglied,2022-04-25,Informelle Gruppe,
Bildung,Bildung/Wissenschaft,Charles Juillard,4240,M,M-E,JU,M,8296,HES-SO Fachhochschule Westschweiz,deklariert,taetig,,,Staatlich,2800
Bildung,Bildung/Wissenschaft,Christa Markwalder,1139,FDP,RL,BE,F,1260,Netzwerk Future,nicht-deklariert,beirat,mitglied,,Informelle Gruppe,0
Bildung,Bildung/Wissenschaft,Christian Wasserfallen,3912,FDP,RL,BE,M,2475,savoirsuisse,nicht-deklariert,beirat,mitglied,,Informelle Gruppe,0
Bildung,Bildung/Wissenschaft,Christian Wasserfallen,3912,FDP,RL,BE,M,1273,Netzwerk Future,deklariert,vorstand,praesident,,Informelle Gruppe,0
Bildung,Bildung/Wissenschaft,Christine Bulliard-Marbach,4101,M,M-E,FR,F,2470,savoirsuisse,nicht-deklariert,beirat,mitglied,,Informelle Gruppe,
Bildung,Bildung/Wissenschaft,Christine Bulliard-Marbach,4101,M,M-E,FR,F,8269,Universität Freiburg,deklariert,vorstand,mitglied,,Staatlich,0
Bildung,Bildung/Wissenschaft,Christine Bulliard-Marbach,4101,M,M-E,FR,F,1245,Netzwerk Future,nicht-deklariert,beirat,mitglied,,Informelle Gruppe,
Bildung,Bildung/Wissenschaft,Daniel Jositsch,3891,SP,S,ZH,M,3185,SIB Schweizerisches Institut für Betriebsökonomie AG,deklariert,vorstand,mitglied,,AG,1
Bildung,Bildung/Wissenschaft,Daniel Jositsch,3891,SP,S,ZH,M,3181,examen.ch AG,deklariert,vorstand,praesident,,AG,1
Bildung,Bildung/Wissenschaft,Diana Gutjahr,4216,SVP,V,TG,F,6741,Konferenz der Höheren Fachschulen,deklariert,vorstand,mitglied,,Verein,5000
Bildung,Bildung/Wissenschaft,Doris Fiala,3877,FDP,RL,ZH,F,10940,Zürcher Hochschule der Künste,nicht-deklariert,beirat,mitglied,,Staatlich,0
Bildung,Bildung/Wissenschaft,Elisabeth Baume-Schneider,4238,SP,S,JU,F,13166,Schweizerische Akademie der Geistes- und Sozialwissenschaften SAGW,deklariert,beirat,mitglied,,Verein,0
Bildung,Bildung/Wissenschaft,Elisabeth Baume-Schneider,4238,SP,S,JU,F,13141,Netzwerk Future,nicht-deklariert,beirat,mitglied,,Informelle Gruppe,
Bildung,Bildung/Wissenschaft,Elisabeth Baume-Schneider,4238,SP,S,JU,F,7899,Université de Neuchâtel,deklariert,vorstand,vizepraesident,,Oeffentlich-rechtlich,7500
Bildung,Bildung/Wissenschaft,Elisabeth Baume-Schneider,4238,SP,S,JU,F,7905,Fachkonferenz Soziale Arbeit der Fachhochschulen Schweiz,nicht-deklariert,vorstand,vizepraesident,,Verein,
Bildung,Bildung/Wissenschaft,Elisabeth Baume-Schneider,4238,SP,S,JU,F,12223,"FH SCHWEIZ, Dachverband der Absolventinnen und Absolventen Fachhochschulen",nicht-deklariert,beirat,mitglied,2020-01-16,Verein,
Bildung,Bildung/Wissenschaft,Elisabeth Schneider-Schneiter,4040,M,M-E,BL,F,1268,Netzwerk Future,nicht-deklariert,beirat,mitglied,,Informelle Gruppe,0
Bildung,Bildung/Wissenschaft,Erich Ettlin,4206,M,M-E,OW,M,6737,"FH SCHWEIZ, Dachverband der Absolventinnen und Absolventen Fachhochschulen",deklariert,beirat,praesident,,Verein,0
Bildung,Bildung/Wissenschaft,Erich Ettlin,4206,M,M-E,OW,M,3762,Stiftung Hochschule Luzern,deklariert,vorstand,mitglied,,Stiftung,0
Bildung,Bildung/Wissenschaft,Eva Herzog,4239,SP,S,BS,F,13134,Netzwerk Future,nicht-deklariert,vorstand,mitglied,2021-12-13,Informelle Gruppe,0
Bildung,Bildung/Wissenschaft,Eva Herzog,4239,SP,S,BS,F,7727,Stiftung Europainstitut Basel,deklariert,vorstand,mitglied,2017-04-03,Stiftung,0
Bildung,Bildung/Wissenschaft,Fabien Fivaz,4260,Grüne,G,NE,M,13147,Netzwerk Future,nicht-deklariert,beirat,mitglied,,Informelle Gruppe,0
