id,vorname,nachname,partei,fraktion,kanton,geschlecht
405,Piero,Marchesi,SVP,V,TI,M
406,Marianne,Maret,M,M-E,VS,F
407,Michel,Matter,GLP,GL,GE,M
408,Isabelle,Pasquier-Eichenberger,Grüne,G,GE,F
409,François,Pointet,GLP,GL,VD,M
410,Léonore,Porchet,Grüne,G,VD,F
411,Katharina,Prelicz-Huber,Grüne,G,ZH,F
412,Stefania,Prezioso Batou,EàG,G,GE,F
413,Valentine,Python,Grüne,G,VD,F
414,Thomas,Rechsteiner,M,M-E,AI,M
415,Maja,Riniker,FDP,RL,AG,F
416,Franziska,Roth,SP,S,SO,F
417,Marie-France,Roth Pasquier,M,M-E,FR,F
418,Barbara,Schaffner,GLP,GL,ZH,F
419,Simon,Stadler,M,M-E,UR,M
420,Bruno,Storni,SP,S,TI,M
421,Céline,Vara,Grüne,G,NE,F
422,Nicolas,Walder,Grüne,G,GE,M
423,Othmar,Reichmuth,M,M-E,SZ,M
424,Florence,Brenzikofer,Grüne,G,BL,F
425,Alois,Huber,SVP,V,AG,M
426,Sarah,Wyss,SP,S,BS,F
427,Michael,Graber,SVP,V,VS,M
428,Emmanuel,Amoos,SP,S,VS,M
429,Isabelle,Chassot,M,M-E,FR,F
430,Patricia,von Falkenstein,LDP,RL,BS,F
431,Céline,Weber,GLP,GL,VD,F
432,Benjamin,Fischer,SVP,V,ZH,M
433,Raphaël,Mahaim,Grüne,G,VD,M
434,Natalie,Imboden,Grüne,G,BE,F
435,Alexandre,Berthoud,FDP,RL,VD,M
436,Daniel,Ruch,FDP,RL,VD,M
